grouptax;sortnophyl;id;sname;authorship;rank;uninomen;accepted;related_to_accepted;basionym;fk_aphia_basionym;protonym;remarks;parent_id;fk_telangio_taxon;phylum;authonym;year;sortnospe;nothonym;prefavatar;fk_ref_morphonym;comnames;comnames_languages;fk_ref_comnames;taxonp;taxongp;fk_eunis_morphonym;fk_aphia_morphonym;fk_aphia_ergonym;fk_aphia_parent;checked_by;checked_date;validated_by;validated_date;workfield;status_synonymy;status_onym;status_chresonym;Fossil
Harpacticoida;97615;88204;Mesochra paranaensis;Jakobi, 1954;Species;paranaensis;1;88204;1;361271;1;;88182;88182;Harpacticoida;Jakobi;1954;97025;0;1;;;;;Mesochra;Canthocamptidae;;361271;361271;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97620;88205;Mesochra parva;Thomson J.M., 1946;Species;parva;1;88205;1;353298;1;;88182;88182;Harpacticoida;Thomson J.M.;1946;97026;0;1;;;;;Mesochra;Canthocamptidae;;353298;353298;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97625;88206;Mesochra pestai;Lang, 1948;Species;pestai;1;88206;1;115703;1;;88182;88182;Harpacticoida;Lang;1948;97027;0;1;;;;;Mesochra;Canthocamptidae;;115703;115703;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97630;88207;Mesochra pontica;Apostolov, 1969;Species;pontica;1;88207;1;724020;1;;88182;88182;Harpacticoida;Apostolov;1969;97028;0;1;;;;;Mesochra;Canthocamptidae;;724020;116846;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97635;88208;Mesochra prowazeki;Douwe, 1907;Species;prowazeki;1;88208;1;353300;1;;88182;88182;Harpacticoida;Douwe;1907;97029;0;1;;;;;Mesochra;Canthocamptidae;;353300;353300;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97645;88209;Mesochra quadrispinosa;Shen & Tai, 1965;Species;quadrispinosa;1;88209;1;353301;1;;88182;88182;Harpacticoida;Shen & Tai;1965;97031;0;1;;;;;Mesochra;Canthocamptidae;;353301;353301;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97650;88210;Mesochra rapiens;(Schmeil, 1894);Species;rapiens;1;88210;0;;0;;88182;88182;Harpacticoida;Schmeil;1894;97032;0;1;;;;;Mesochra;Canthocamptidae;;115706;115706;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97655;88212;Mesochra reducta;Klie, 1950;Species;reducta;1;88212;1;115707;1;;88182;88182;Harpacticoida;Klie;1950;97033;0;1;;;;;Mesochra;Canthocamptidae;;115707;115707;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97660;88213;Mesochra rostrata;Gurney, 1927;Species;rostrata;1;88213;1;115708;1;;88182;88182;Harpacticoida;Gurney;1927;97034;0;1;;;;;Mesochra;Canthocamptidae;;115708;115708;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97665;88214;Mesochra schmidti;Mielke, 1974;Species;schmidti;1;88214;1;115709;1;;88182;88182;Harpacticoida;Mielke;1974;97035;0;1;;;;;Mesochra;Canthocamptidae;;115709;115709;;NB;19/4/2016 00:00:00;;;;;;;0
