grouptax;sortnophyl;id;sname;authorship;rank;uninomen;accepted;related_to_accepted;basionym;fk_aphia_basionym;protonym;remarks;parent_id;fk_telangio_taxon;phylum;authonym;year;sortnospe;nothonym;prefavatar;fk_ref_morphonym;comnames;comnames_languages;fk_ref_comnames;taxonp;taxongp;fk_eunis_morphonym;fk_aphia_morphonym;fk_aphia_ergonym;fk_aphia_parent;checked_by;checked_date;validated_by;validated_date;workfield;status_synonymy;status_onym;status_chresonym;Fossil
Brachiopoda;56250;156810;Megathyrididae;Dall, 1870;Family;Megathyrididae;1;156810;1;104033;1;;2000026;2000026;Brachiopoda;Dall;1870;57300;0;1;;;;;Megathyridoidea;Terebratellidina;;104033;104033;235318;NB;28/5/2015 00:00:00;VG;1/6/2015 00:00:00;;;;;0
Brachiopoda;56350;156815;Platidiidae;Dall, 1870;Family;Platidiidae;1;156815;1;104034;1;;2000022;2000022;Brachiopoda;Dall;1870;57400;0;1;;;;;Platidioidea;Terebratellidina;;104034;104034;235324;NB;28/5/2015 00:00:00;VG;1/6/2015 00:00:00;;;;;0
Chaetognatha;14250;158657;Spadellidae;Tokioka, 1965;Family;Spadellidae;1;158657;1;15177;1;;158656;158656;Chaetognatha;Tokioka;1965;13020;0;1;;;;;Phragmophora;Sagittoidea;;15177;15177;5951;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;;0
Chaetognatha;14050;158689;Eukrohniidae;Tokioka, 1965;Family;Eukrohniidae;1;158689;1;5955;1;;158656;158656;Chaetognatha;Tokioka;1965;10500;0;1;;;;;Phragmophora;Sagittoidea;;5955;5955;5951;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;;0
Chaetognatha;10800;158726;Sagittidae;Claus & Grobben, 1905;Family;Sagittidae;1;158726;1;5953;1;;158724;158724;Chaetognatha;Claus & Grobben;1905;10800;0;1;;;;;Aphragmophora;Sagittoidea;;5953;5953;5950;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;;0
Chaetognatha;13210;158839;Pterosagittidae;Tokioka, 1965;Family;Pterosagittidae;1;158839;1;15175;1;Possibly to be merged under Sagittidae (Gasmi et al., 2014), and not with Spadellidae as suggested by Papillon et al. (2006) from a mistake in sequences.;158724;158724;Chaetognatha;Tokioka;1965;13210;0;1;;;;;Aphragmophora;Sagittoidea;;15175;15175;5950;GK;20/4/2015 00:00:00;GK;20/4/2015 00:00:00;;;;;0
Chaetognatha;13000;158847;Krohnittidae;Tokioka, 1965;Family;Krohnittidae;1;158847;1;15172;1;;158724;158724;Chaetognatha;Tokioka;1965;10900;0;1;;;;;Aphragmophora;Sagittoidea;;15172;15172;5950;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;;0
Cetacea;94100;180415;Delphinidae;Gray, 1821;Family;Delphinidae;1;180415;1;136980;1;;180404;2000009;Chordata;Gray;1821;93600;0;1;;;;;Odontoceti;Cetacea;;136980;136980;148723;NB;22/2/2015 00:00:00;;;;;;;0
Cetacea;95700;180486;Physeteridae;Gray, 1821;Family;Physeteridae;1;180486;1;136985;1;;180404;2000009;Chordata;Gray;1821;93800;0;1;;;;;Odontoceti;Cetacea;;136985;136985;148723;NB;22/2/2015 00:00:00;;;;;;;0
Cetacea;96000;180493;Ziphiidae;Gray, 1850;Family;Ziphiidae;1;180493;1;136986;1;;180404;2000009;Chordata;Gray;1850;93900;0;1;;;;;Odontoceti;Cetacea;;136986;136986;148723;NB;22/2/2015 00:00:00;;;;;;;0
Cetacea;93400;180522;Balaenopteridae;Gray, 1864;Family;Balaenopteridae;1;180522;1;136979;1;;552298;2000009;Chordata;Gray;1864;93500;0;1;;;;;Mysticeti;Cetacea;;136979;136979;148724;NB;22/2/2015 00:00:00;;;;;;;0
Cetacea;95400;552307;Phocoenidae;Gray, 1825;Family;Phocoenidae;1;552307;1;136984;1;;180404;2000009;Chordata;Gray;1825;93700;0;1;;;;;Odontoceti;Cetacea;;136984;136984;148723;NB;22/2/2015 00:00:00;;;;;;;0
Harpacticoida;95005;621263;Adenopleurellidae;Huys, 1990;Family;Adenopleurellidae;1;621263;1;115132;1;;86110;86110;Harpacticoida;Huys;1990;96238;0;1;;;;;Harpacticoida;Podoplea;;115132;115132;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;95035;621264;Ambunguipedidae;Huys, 1990;Family;Ambunguipedidae;1;621264;1;115134;1;;86110;86110;Harpacticoida;Huys;1990;96240;0;1;;;;;Harpacticoida;Podoplea;;115134;149928;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;96475;621265;Argestidae;Por, 1986;Family;Argestidae;1;621265;1;115138;1;;86110;86110;Harpacticoida;Por;1986;96243;0;1;;;;;Harpacticoida;Podoplea;;115138;115138;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;96845;621266;Cancrincolidae;Fiers, 1990;Family;Cancrincolidae;1;621266;1;149930;1;;86110;86110;Harpacticoida;Fiers;1990;96245;0;1;;;;;Harpacticoida;Podoplea;;149930;149930;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;99135;621267;Cletopsyllidae;Huys & Willems, 1989;Family;Cletopsyllidae;1;621267;1;115144;1;;86110;86110;Harpacticoida;Huys & Willems;1989;96251;0;1;;;;;Harpacticoida;Podoplea;;115144;115144;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;99160;621268;Cristacoxidae;Huys, 1990;Family;Cristacoxidae;1;621268;1;115146;1;;86110;86110;Harpacticoida;Huys;1990;96253;0;1;;;;;Harpacticoida;Podoplea;;115146;115146;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;102155;621269;Euterpinidae;Brian, 1921;Family;Euterpinidae;1;621269;1;115152;1;;86110;86110;Harpacticoida;Brian;1921;96258;0;1;;;;;Harpacticoida;Podoplea;;115152;115152;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;102170;621270;Hamondiidae;Huys, 1990;Family;Hamondiidae;1;621270;1;149928;1;;86110;86110;Harpacticoida;Huys;1990;96259;0;1;;;;;Harpacticoida;Podoplea;;149928;149928;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;102605;621271;Huntemanniidae;Por, 1986;Family;Huntemanniidae;1;621271;1;115154;1;;86110;86110;Harpacticoida;Por;1986;96261;0;1;;;;;Harpacticoida;Podoplea;;115154;513857;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;103870;621272;Laophontopsidae;Huys & Willems, 1989;Family;Laophontopsidae;1;621272;1;115156;1;;86110;86110;Harpacticoida;Huys & Willems;1989;96263;0;1;;;;;Harpacticoida;Podoplea;;115156;115156;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;103890;621273;Latiremidae;Bozic, 1969;Family;Latiremidae;1;621273;1;115157;1;;86110;86110;Harpacticoida;Bozic;1969;96264;0;1;;;;;Harpacticoida;Podoplea;;115157;115157;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;103895;621274;Leptastacidae;Lang, 1948;Family;Leptastacidae;1;621274;1;115158;1;;86110;86110;Harpacticoida;Lang;1948;96265;0;1;;;;;Harpacticoida;Podoplea;;115158;115158;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;103985;621275;Leptopontiidae;Lang, 1948;Family;Leptopontiidae;1;621275;1;115159;1;;86110;86110;Harpacticoida;Lang;1948;96266;0;1;;;;;Harpacticoida;Podoplea;;115159;115159;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;104300;621276;Normanellidae;Lang, 1944;Family;Normanellidae;1;621276;1;115165;1;;86110;86110;Harpacticoida;Lang;1944;96272;0;1;;;;;Harpacticoida;Podoplea;;115165;115165;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;104385;621277;Novocriniidae;Huys & Iliffe, 1998;Family;Novocriniidae;1;621277;1;115166;1;;86110;86110;Harpacticoida;Huys & Iliffe;1998;96273;0;1;;;;;Harpacticoida;Podoplea;;115166;115166;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;104390;621278;Orthopsyllidae;Huys, 1990;Family;Orthopsyllidae;1;621278;1;115167;1;;86110;86110;Harpacticoida;Huys;1990;96274;0;1;;;;;Harpacticoida;Podoplea;;115167;115167;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105225;621279;Pseudotachidiidae;Lang, 1936;Family;Pseudotachidiidae;1;621279;1;293082;1;;86110;86110;Harpacticoida;Lang;1936;96281;0;1;;;;;Harpacticoida;Podoplea;;293082;293082;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105590;621280;Rhizothricidae;Por, 1986;Family;Rhizothricidae;1;621280;1;115175;1;;86110;86110;Harpacticoida;Por;1986;96282;0;1;;;;;Harpacticoida;Podoplea;;115175;732585;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105595;621281;Rotundiclipeidae;Huys, 1988;Family;Rotundiclipeidae;1;621281;1;115176;1;;86110;86110;Harpacticoida;Huys;1988;96283;0;1;;;;;Harpacticoida;Podoplea;;115176;115176;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105600;621282;Styracothoracidae;Huys, 1993;Family;Styracothoracidae;1;621282;1;149929;1;;86110;86110;Harpacticoida;Huys;1993;96284;0;1;;;;;Harpacticoida;Podoplea;;149929;293083;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105605;621283;Superornatiremidae;Huys, 1996;Family;Superornatiremidae;1;621283;1;115177;1;;86110;86110;Harpacticoida;Huys;1996;96285;0;1;;;;;Harpacticoida;Podoplea;;115177;115177;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105755;621284;Tetragonicipitidae;Lang, 1944;Family;Tetragonicipitidae;1;621284;1;345994;1;;86110;86110;Harpacticoida;Lang;1944;96288;0;1;;;;;Harpacticoida;Podoplea;;345994;345994;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;106680;621285;Thompsonulidae;Lang, 1944;Family;Thompsonulidae;1;621285;1;115182;1;;86110;86110;Harpacticoida;Lang;1944;96290;0;1;;;;;Harpacticoida;Podoplea;;115182;115182;;NB;19/4/2016 00:00:00;;;;;;;0
Brachiopoda;56040;2000102;Terebratulida incertae sedis;dmt, 0000;Family;Terebratulida incertae sedis;0;2000102;0;;0;;156856;156856;Brachiopoda;dmt;0;59925;0;0;;;;;Terebratulida;Rhynchonellata;;235359;235359;104023;NB;28/5/2015 00:00:00;VG;1/6/2015 00:00:00;;;;;0
Brachiopoda;56210;2000105;Kraussinidae;Dall, 1870;Family;Kraussinidae;1;2000105;1;104031;1;;2000021;2000021;Brachiopoda;Dall;1870;59940;0;1;;;;;Kraussinoidea;Terebratellidina;;104031;104031;235355;NB;28/5/2015 00:00:00;VG;1/6/2015 00:00:00;;;;;0
Harpacticoida;96835;86112;Balaenophilus;Aurivillius P.O.C., 1879;Genus;Balaenophilus;1;86112;1;115234;1;;86111;86111;Harpacticoida;Aurivillius P.O.C.;1879;96332;0;1;;;;;Balaenophilidae;Harpacticoida;;115234;115234;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105705;86115;Tegastes;Norman, 1903;Genus;Tegastes;1;86115;1;115447;1;;86114;86114;Harpacticoida;Norman;1903;96552;0;1;;;;;Tegastidae;Harpacticoida;;115447;115447;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105690;86118;Parategastes;Sars G.O., 1904;Genus;Parategastes;1;86118;1;115445;1;;86114;86114;Harpacticoida;Sars G.O.;1904;96551;0;1;;;;;Tegastidae;Harpacticoida;;115445;115445;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105170;86121;Porcellidium;Claus, 1860;Genus;Porcellidium;1;86121;1;115433;1;;86120;86120;Harpacticoida;Claus;1860;96538;0;1;;;;;Porcellidiidae;Harpacticoida;;115433;115433;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;104160;86127;Longipedia;Claus, 1862;Genus;Longipedia;1;86127;1;115403;1;;86126;86126;Harpacticoida;Claus;1862;96511;0;1;;;;;Longipediidae;Harpacticoida;;115403;115403;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97970;86131;Scottolana;Por, 1967;Genus;Scottolana;1;86131;1;534487;1;;86130;86130;Harpacticoida;Por;1967;96358;0;1;;;;;Canuellidae;Harpacticoida;;534487;;;NB;19/4/2016 00:00:00;;;;;;;0
